конто|ко+нто
обер|о+бер
вращательный|враща+тельный
оптический|опти+ческий
планировочный|планиро+вочный
пространственный|простра+нственный
один|оди+н
один|оди+н
болотный|боло+тный
ой|о+й
ой|о+й
вогнутый|во+гнутый
опять|опя+ть
оранжево|ора+нжево
откуда|отку+да
откуда|отку+да
откуда|отку+да
отчего|отчего+
отчего|отчего+
отчего|отчего+
выборный|вы+борный
перевыборный|перевы+борный
ох|о+х
де|де+
труа|труа+
мальчик|ма+льчик
палево|па+лево
раздельный|разде+льный
пальчато|па+льчато
европа|евро+па
группа|гру+ппа
культура|культу+ра
анатомический|анатоми+ческий
клуб|клу+б
брошюровочный|брошюро+вочный
перисто|пе+ристо
яркий|я+ркий
петушок |петушо+к
желудочный|желу+дочный
мезон|мезо+н
трансформатор|трансформа+тор
понг|по+нг
пистолет|пистоле+т
паф|па+ф
адъютант|адъюта+нт
майор|майо+р
парад|пара+д
парадный|пара+дный
накидка|наки+дка
палатка|пала+тка
каркасный|карка+сный
чешуйчатый|чешу+йчатый
азербайджански|азербайджа+нски
американски|америка+нски
английски|англи+йски
арабски|ара+бски
армянски|армя+нски
бараньи|бара+ньи
барски|ба+рски
белорусски|белору+сски
богатырски|богаты+рски
боевому|боево+му
божески|бо+жески
болгарски|болга+рски
большевистски|большеви+стски
братски|бра+тски
будничному|бу+дничному
буднишнему|бу+дничному
бычьи|бы+чьи
вашему|ва+шему
вдовьи|вдо+вьи
венгерски|венге+рски
весеннему|весе+ннему
видимому|ви+димому
военному|вое+нному
воловьи|воло+вьи
волчьи|во+лчьи
вороньи|воро+ньи
всякому|вся+кому
вчерашнему|вчера+шнему
вьетнамски|вьетна+мски
глупому|глу+пому
городски|городски+
городскому|городско+му
господски|госпо+дски
граждански|гражда+нски
грузински|грузи+нски
девичьи|де+вичьи
деловому|делово+му
деревенски|дереве+нски
детски|де+тски
дилетантски|дилета+нтски
домашнему|дома+шнему
донкихотски|донкихо+тски
дорожному|доро+жному
другому|друго+му
дружески|дру+жески
дурацки|дура+цки
душевному|душе+вному
еврейски|евре+йски
европейски|европе+йски
его|его+
жабьи|жа+бьи
женски|же+нски
жеребячьи|жеребя+чьи
звериному|звери+ному
зверски|зве+рски
зимнему|зи+мнему
злодейски|злоде+йски
змеиному|змеи+ному
идиотски|идио+тски
иному|ино+му
иностранному|иностра+нному
испански|испа+нски
итальянски|италья+нски
их|и+х
казахски|каза+хски
казацки|каза+цки
казачьи|каза+чьи
каковски|како+вски
киргизски|кирги+зски
китайски|кита+йски
книжному|кни+жному
козьи|ко+зьи
командирски|команди+рски
